name;address;gmap_id;description;latitude;longitude;category;avg_rating;num_of_reviews;price;hours;MISC;state;relative_results;url
Porter Pharmacy;Porter Pharmacy, 129 N Second St, Cochran, GA 31014;0x88f16e41928ff687:0x883dad4fd048e8f8;;32.3883;-83.3571;['Pharmacy'];4.9;16;;[['Friday', '8AM–6PM'], ['Saturday', '8AM–12PM'], ['Sunday', 'Closed'], ['Monday', '8AM–6PM'], ['Tuesday', '8AM–6PM'], ['Wednesday', '8AM–12PM'], ['Thursday', '8AM–6PM']];{'Service options': ['In-store shopping', 'Same-day delivery'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Quick visit']};Open ⋅ Closes 6PM;['0x88f16e41929435cf:0x5b2532a2885e9ef6', '0x88f16c32716531c1:0x5f19bdaa5044e4fa', '0x88f16e6e3f4a21df:0xcf495da9bb4d89ea'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x88f16e41928ff687:0x883dad4fd048e8f8?authuser=-1&hl=en&gl=us
City Textile;City Textile, 3001 E Pico Blvd, Los Angeles, CA 90023;0x80c2c98c0e3c16fd:0x29ec8a728764fdf9;;34.0188913;-118.2152898;['Textile exporter'];4.5;6;;;;Open now;['0x80c2c624136ea88b:0xb0315367ed448771', '0x80c2c97cb7c52f17:0xb66ee68c1c366f2d'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c98c0e3c16fd:0x29ec8a728764fdf9?authuser=-1&hl=en&gl=us
San Soo Dang;San Soo Dang, 761 S Vermont Ave, Los Angeles, CA 90005;0x80c2c778e3b73d33:0xbdc58662a4a97d49;;34.0580917;-118.2921295;['Korean restaurant'];4.4;18;;[['Thursday', '6:30AM–6PM'], ['Friday', '6:30AM–6PM'], ['Saturday', '6:30AM–6PM'], ['Sunday', '7AM–12PM'], ['Monday', 'Closed'], ['Tuesday', '6:30AM–6PM'], ['Wednesday', '6:30AM–6PM']];{'Service options': ['Takeout', 'Dine-in', 'Delivery'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Comfort food'], 'Amenities': ['Good for kids'], 'Atmosphere': ['Casual']};Open ⋅ Closes 6PM;['0x80c2c78249aba68f:0x35bf16ce61be751d', '0x80c2c79998f75fff:0xd7ca5c67e96fb778', '0x80c2b899146d7507:0xf4162c12c9cf65f8', '0x80c2c77f2d419951:0x26285631b21e324c', '0x80c2b8add9016015:0x15836f81a963b35f'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c778e3b73d33:0xbdc58662a4a97d49?authuser=-1&hl=en&gl=us
Nova Fabrics;Nova Fabrics, 2200 E 11th St, Los Angeles, CA 90021;0x80c2c89923b27a41:0x32041559418d447;;34.0236689;-118.2329297;['Fabric store'];3.3;6;;[['Thursday', '9AM–5PM'], ['Friday', '9AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–5PM'], ['Tuesday', '9AM–5PM'], ['Wednesday', '9AM–5PM']];{'Service options': ['In-store shopping'], 'Payments': ['Checks', 'Debit cards', 'Credit cards']};Open ⋅ Closes 5PM;['0x80c2c8811477253f:0x23a8a492df1918f7', '0x80c2c6333ea5aaa7:0x38c93218b0d5751b', '0x80c2c633235effa1:0x384bf96fe70cbbc7', '0x80c2c6295991d031:0x8516999f61103f87', '0x80c2c63331db7ec5:0x507f59d850d36691'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c89923b27a41:0x32041559418d447?authuser=-1&hl=en&gl=us
Nobel Textile Co;Nobel Textile Co, 719 E 9th St, Los Angeles, CA 90021;0x80c2c632f933b073:0xc31785961fe826a6;;34.0366942;-118.2494208;['Fabric store'];4.3;7;;[['Thursday', '9AM–5PM'], ['Friday', '9AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–5PM'], ['Tuesday', '9AM–5PM'], ['Wednesday', '9AM–5PM']];{'Service options': ['In-store pickup']};Open ⋅ Closes 5PM;['0x80c2c62c496083d1:0xdefa11317fe870a1', '0x80c2c6333ea5aaa7:0x38c93218b0d5751b', '0x80c2c632158d209d:0xe23b0235cc969407', '0x80c2c881faa0ca0f:0xe0806e3c88dbd1'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c632f933b073:0xc31785961fe826a6?authuser=-1&hl=en&gl=us
Matrix International Textiles;Matrix International Textiles, 1363 S Bonnie Beach Pl, Commerce, CA 90023;0x80c2cf163db6bc89:0x219484e2edbcfa41;;34.0155047;-118.1818394;['Fabric store'];3.5;6;;[['Thursday', '8:30AM–5:30PM'], ['Friday', '8:30AM–5:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8:30AM–5:30PM'], ['Tuesday', '8:30AM–5:30PM'], ['Wednesday', '8:30AM–5:30PM']];{'Accessibility': ['Wheelchair accessible entrance']};Open ⋅ Closes 5:30PM;['0x80c2cf042a5d9561:0xd0024ad6f81f1335', '0x80c2c8bd8e194c6d:0xa095ca0e339428fc', '0x80c2ce4be1869c51:0x826a3f0c03e67e59', '0x80c2cf402a32f3d1:0xa4039f3a8d5c1b06'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2cf163db6bc89:0x219484e2edbcfa41?authuser=-1&hl=en&gl=us
Vons Chicken;Vons Chicken, 12740 La Mirada Blvd, La Mirada, CA 90638;0x80dd2b4c8555edb7:0xfc33d65c4bdbef42;;33.9164023;-118.01085499999999;['Restaurant'];4.5;18;;[['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–9:30PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM']];{'Service options': ['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required', 'Staff wear masks', 'Staff required to disinfect surfaces between visits'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Comfort food', 'Quick bite', 'Small plates'], 'Dining options': ['Lunch', 'Dinner'], 'Amenities': ['Good for kids'], 'Atmosphere': ['Casual'], 'Crowd': ['College students']};Open ⋅ Closes 9:30PM;;https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd2b4c8555edb7:0xfc33d65c4bdbef42?authuser=-1&hl=en&gl=us
Polished Nail Salon & Spa;Polished Nail Salon & Spa, 1330 Hickman Rd, Waukee, IA 50263;0x87ec238afdd8837b:0x2f43f2b12142bff5;;41.614197999999995;-93.8472695;['Nail salon', 'Waxing hair removal service'];4.0;86;;[['Thursday', '9AM–8PM'], ['Friday', '9AM–8PM'], ['Saturday', '9AM–7PM'], ['Sunday', '11AM–5PM'], ['Monday', '9AM–8PM'], ['Tuesday', '9AM–8PM'], ['Wednesday', '9AM–8PM']];{'From the business': ['Identifies as women-led'], 'Highlights': ['LGBTQ friendly'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot', 'Wheelchair accessible restroom'], 'Amenities': ['Gender-neutral restroom', 'Restroom', 'Wi-Fi'], 'Payments': ['Debit cards', 'Credit cards']};Open ⋅ Closes 8PM;['0x87ec2481df68e107:0x2978d64e14ca8313', '0x87ec23e8845a37e5:0xb0976da75a2ea960', '0x87ec2362d6508ce7:0xfec720720563bac7', '0x87ec2394416fe367:0x15f4806aef3573fd', '0x87ec23d7e3bef45d:0xa187e18afad628a5'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x87ec238afdd8837b:0x2f43f2b12142bff5?authuser=-1&hl=en&gl=us
Sweet Rewards Gluten Free Bakery, LLC;Sweet Rewards Gluten Free Bakery, LLC, 85 NE Dartmoor Dr, Waukee, IA 50263;0x87ec235c54d25b31:0x3b75fb5facc602f;;41.616079;-93.865487;['Bakery', 'Health food restaurant'];4.7;21;;[['Thursday', '10AM–5:30PM'], ['Friday', '10AM–5:30PM'], ['Saturday', '9AM–12PM'], ['Sunday', 'Closed'], ['Monday', '10AM–5:30PM'], ['Tuesday', '10AM–5:30PM'], ['Wednesday', '10AM–5:30PM']];{'Service options': ['Delivery']};Permanently closed;['0x87ee974869295555:0x95f310d065882c9b', '0x87ec20d44240e889:0xbd04c461a2e8eff6', '0x87ec2227812ac667:0x8b194dd8e3288532'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x87ec235c54d25b31:0x3b75fb5facc602f?authuser=-1&hl=en&gl=us
PeepNotes;;0x87ee85ac3cb23b4d:0x4cd1435fddc046b1;;41.846035;-93.7561175;['Greeting card shop', 'Service establishment'];5.0;1;;[['Thursday', '7AM–8PM'], ['Friday', '7AM–8PM'], ['Saturday', '7AM–8PM'], ['Sunday', '7AM–8PM'], ['Monday', '7AM–8PM'], ['Tuesday', '7AM–8PM'], ['Wednesday', '7AM–8PM']];;Open ⋅ Closes 8PM;['0x87ee915d9604ea6b:0x797354b58dacd391', '0x87ee85731875ecef:0x12f7d69d02f6abec', '0x87ee99adc6d488b7:0x4970dc1193d68d4'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x87ee85ac3cb23b4d:0x4cd1435fddc046b1?authuser=-1&hl=en&gl=us
